student_id,first_name,last_name,email,age,country,registration_date,subscription_type,total_courses_enrolled,is_active
STU00054,Student54,Last54,student54@learn.com,20,US,2022-01-13,Annual,3,True
STU00055,Student55,Last55,student55@learn.com,50,AU,2022-04-19,Free,15,True
STU00056,Student56,Last56,student56@learn.com,38,MX,2022-05-03,Monthly,2,False
STU00057,Student57,Last57,student57@learn.com,24,DE,2023-01-02,Free,17,True
STU00058,Student58,Last58,student58@learn.com,20,BR,2022-12-26,Enterprise,15,True
STU00059,Student59,Last59,student59@learn.com,41,DE,2023-07-29,Annual,13,False
STU00060,Student60,Last60,student60@learn.com,39,MX,2021-02-23,Annual,3,True
STU00061,Student61,Last61,student61@learn.com,24,PH,2022-11-26,Enterprise,10,True
STU00062,Student62,Last62,student62@learn.com,27,DE,2021-03-25,Monthly,12,True
STU00063,Student63,Last63,student63@learn.com,43,IN,2022-09-02,Free,10,False
STU00064,Student64,Last64,student64@learn.com,39,IN,2022-11-18,Free,14,True
STU00065,Student65,Last65,student65@learn.com,19,DE,2021-11-13,Monthly,7,True
STU00066,Student66,Last66,student66@learn.com,49,BR,2021-08-20,Monthly,5,True
STU00067,Student67,Last67,student67@learn.com,36,UK,2022-06-04,Free,11,True
STU00068,Student68,Last68,student68@learn.com,42,IN,2021-06-16,Monthly,20,True
STU00069,Student69,Last69,student69@learn.com,46,US,2022-02-25,Annual,8,False
STU00070,Student70,Last70,student70@learn.com,36,NG,2021-08-28,Monthly,10,False
STU00071,Student71,Last71,student71@learn.com,30,DE,2022-11-26,Enterprise,15,True
STU00072,Student72,Last72,student72@learn.com,42,PH,2022-06-25,Enterprise,6,True
STU00073,Student73,Last73,student73@learn.com,26,CA,2021-02-23,Enterprise,12,True
STU00074,Student74,Last74,student74@learn.com,51,UK,2021-10-19,Free,6,True
STU00075,Student75,Last75,student75@learn.com,46,PH,2021-05-31,Enterprise,3,True
STU00076,Student76,Last76,student76@learn.com,46,DE,2023-08-11,Free,14,True
STU00077,Student77,Last77,student77@learn.com,43,PH,2022-01-18,Monthly,13,True
STU00078,Student78,Last78,student78@learn.com,41,BR,2021-01-29,Annual,4,True
STU00079,Student79,Last79,student79@learn.com,27,IN,2021-02-09,Annual,16,True
STU00080,Student80,Last80,student80@learn.com,48,NG,2022-09-23,Free,3,True
STU00081,Student81,Last81,student81@learn.com,34,BR,2023-05-06,Monthly,18,False
STU00082,Student82,Last82,student82@learn.com,25,CA,2021-09-01,Annual,4,True
STU00083,Student83,Last83,student83@learn.com,33,AU,2022-10-17,Enterprise,3,True
STU00084,Student84,Last84,student84@learn.com,49,MX,2022-07-03,Free,17,True
STU00085,Student85,Last85,student85@learn.com,27,CA,2022-03-16,Free,20,True
STU00086,Student86,Last86,student86@learn.com,33,MX,2022-03-03,Monthly,3,True
STU00087,Student87,Last87,student87@learn.com,22,PH,2022-07-12,Free,13,False
STU00088,Student88,Last88,student88@learn.com,20,AU,2022-01-18,Annual,1,True
STU00089,Student89,Last89,student89@learn.com,22,DE,2021-09-04,Free,19,True
STU00090,Student90,Last90,student90@learn.com,26,US,2021-12-27,Annual,6,False
STU00091,Student91,Last91,student91@learn.com,48,IN,2023-04-11,Monthly,3,False
STU00092,Student92,Last92,student92@learn.com,20,CA,2021-07-26,Free,7,True
STU00093,Student93,Last93,student93@learn.com,38,CA,2022-06-12,Enterprise,18,False
STU00094,Student94,Last94,student94@learn.com,34,US,2023-02-11,Monthly,10,True
STU00095,Student95,Last95,student95@learn.com,21,DE,2021-10-07,Free,12,False
STU00096,Student96,Last96,student96@learn.com,43,NG,2023-07-06,Enterprise,11,True
STU00097,Student97,Last97,student97@learn.com,49,NG,2022-01-12,Annual,3,False
STU00098,Student98,Last98,student98@learn.com,23,AU,2022-09-09,Monthly,18,True
STU00099,Student99,Last99,student99@learn.com,38,UK,2021-03-23,Annual,10,True
STU00100,Student100,Last0,student100@learn.com,46,MX,2023-01-05,Enterprise,6,False
STU00101,Student101,Last1,student101@learn.com,40,NG,2021-02-13,Annual,20,False
STU00102,Student102,Last2,student102@learn.com,35,US,2021-03-18,Enterprise,12,True
STU00103,Student103,Last3,student103@learn.com,19,IN,2023-05-20,Enterprise,2,True
STU00104,Student104,Last4,student104@learn.com,22,BR,2023-03-09,Annual,12,False
STU00105,Student105,Last5,student105@learn.com,54,US,2022-09-12,Monthly,15,True
STU00106,Student106,Last6,student106@learn.com,41,NG,2023-02-21,Free,19,True
STU00107,Student107,Last7,student107@learn.com,51,DE,2022-02-12,Annual,9,True
STU00108,Student108,Last8,student108@learn.com,25,US,2023-01-24,Monthly,16,False
STU00109,Student109,Last9,student109@learn.com,53,UK,2021-09-26,Annual,15,True
STU00110,Student110,Last10,student110@learn.com,36,NG,2021-07-24,Free,5,True
STU00111,Student111,Last11,student111@learn.com,46,IN,2023-07-10,Enterprise,3,True
STU00112,Student112,Last12,student112@learn.com,40,UK,2022-07-18,Annual,10,True
STU00113,Student113,Last13,student113@learn.com,29,DE,2022-06-05,Monthly,4,True
STU00114,Student114,Last14,student114@learn.com,26,BR,2023-03-21,Enterprise,1,True
STU00115,Student115,Last15,student115@learn.com,53,MX,2022-01-13,Enterprise,18,True
STU00116,Student116,Last16,student116@learn.com,23,UK,2021-11-13,Enterprise,16,False
STU00117,Student117,Last17,student117@learn.com,44,MX,2021-03-17,Monthly,11,True
STU00118,Student118,Last18,student118@learn.com,46,NG,2022-11-28,Annual,5,True
STU00119,Student119,Last19,student119@learn.com,26,AU,2022-05-30,Free,4,True
STU00120,Student120,Last20,student120@learn.com,37,IN,2021-06-15,Annual,8,True
STU00121,Student121,Last21,student121@learn.com,51,CA,2023-05-17,Free,9,True
STU00122,Student122,Last22,student122@learn.com,53,CA,2021-05-09,Annual,20,True
STU00123,Student123,Last23,student123@learn.com,50,IN,2022-08-30,Monthly,6,True
STU00124,Student124,Last24,student124@learn.com,54,US,2023-04-26,Free,3,True
STU00125,Student125,Last25,student125@learn.com,54,CA,2022-10-29,Monthly,19,False
STU00126,Student126,Last26,student126@learn.com,19,NG,2023-06-30,Annual,10,False
STU00127,Student127,Last27,student127@learn.com,33,AU,2021-11-01,Enterprise,3,True
STU00128,Student128,Last28,student128@learn.com,28,NG,2022-03-02,Enterprise,15,True
STU00129,Student129,Last29,student129@learn.com,39,MX,2021-05-28,Annual,11,True
STU00130,Student130,Last30,student130@learn.com,43,IN,2023-02-18,Annual,17,True
STU00131,Student131,Last31,student131@learn.com,38,BR,2022-04-23,Free,9,False
STU00132,Student132,Last32,student132@learn.com,33,IN,2021-04-10,Free,10,False
STU00133,Student133,Last33,student133@learn.com,44,BR,2023-09-13,Monthly,11,True
STU00134,Student134,Last34,student134@learn.com,30,IN,2022-05-26,Enterprise,16,True
STU00135,Student135,Last35,student135@learn.com,49,US,2021-04-03,Enterprise,17,False
STU00136,Student136,Last36,student136@learn.com,33,BR,2022-08-21,Annual,2,True
STU00137,Student137,Last37,student137@learn.com,36,NG,2022-09-04,Enterprise,10,True
STU00138,Student138,Last38,student138@learn.com,24,AU,2021-05-18,Annual,12,False
STU00139,Student139,Last39,student139@learn.com,41,US,2022-02-15,Free,19,True
STU00140,Student140,Last40,student140@learn.com,41,PH,2021-10-23,Free,13,False
STU00141,Student141,Last41,student141@learn.com,53,CA,2023-04-26,Free,5,True
STU00142,Student142,Last42,student142@learn.com,43,DE,2023-03-25,Annual,18,True
STU00143,Student143,Last43,student143@learn.com,27,BR,2022-09-09,Enterprise,17,True
STU00144,Student144,Last44,student144@learn.com,20,US,2021-05-21,Annual,16,False
STU00145,Student145,Last45,student145@learn.com,27,MX,2023-07-04,Monthly,11,True
STU00146,Student146,Last46,student146@learn.com,28,AU,2022-09-24,Annual,19,True
STU00147,Student147,Last47,student147@learn.com,50,PH,2022-06-30,Enterprise,19,True
STU00148,Student148,Last48,student148@learn.com,48,US,2022-01-13,Annual,4,False
STU00149,Student149,Last49,student149@learn.com,55,CA,2023-03-27,Free,20,False
STU00150,Student150,Last50,student150@learn.com,34,MX,2022-08-15,Monthly,2,False
STU00151,Student151,Last51,student151@learn.com,28,PH,2022-10-07,Enterprise,5,True
STU00152,Student152,Last52,student152@learn.com,20,MX,2023-08-29,Free,7,True
STU00153,Student153,Last53,student153@learn.com,46,DE,2022-03-05,Monthly,14,True
STU00154,Student154,Last54,student154@learn.com,44,PH,2023-03-05,Enterprise,2,True
STU00155,Student155,Last55,student155@learn.com,51,BR,2022-07-29,Annual,16,False
STU00156,Student156,Last56,student156@learn.com,38,IN,2022-04-16,Annual,18,True
STU00157,Student157,Last57,student157@learn.com,34,MX,2022-05-11,Monthly,8,True
STU00158,Student158,Last58,student158@learn.com,53,CA,2021-08-19,Annual,10,True
STU00159,Student159,Last59,student159@learn.com,49,DE,2022-05-07,Annual,18,True
STU00160,Student160,Last60,student160@learn.com,36,UK,2022-08-11,Enterprise,13,True
STU00161,Student161,Last61,student161@learn.com,27,CA,2021-02-13,Annual,3,True
STU00162,Student162,Last62,student162@learn.com,46,CA,2023-02-05,Enterprise,7,True
STU00163,Student163,Last63,student163@learn.com,52,CA,2023-08-14,Annual,5,True
STU00164,Student164,Last64,student164@learn.com,55,BR,2021-09-06,Free,17,True
STU00165,Student165,Last65,student165@learn.com,32,US,2021-04-13,Enterprise,11,False
STU00166,Student166,Last66,student166@learn.com,24,IN,2021-01-06,Monthly,14,False
STU00167,Student167,Last67,student167@learn.com,48,BR,2023-02-14,Annual,11,True
STU00168,Student168,Last68,student168@learn.com,21,UK,2022-10-30,Monthly,18,True
STU00169,Student169,Last69,student169@learn.com,29,AU,2023-06-23,Monthly,2,False
STU00170,Student170,Last70,student170@learn.com,49,IN,2023-08-18,Annual,2,True
STU00171,Student171,Last71,student171@learn.com,37,MX,2022-09-10,Free,11,True
STU00172,Student172,Last72,student172@learn.com,47,PH,2022-06-21,Enterprise,5,False
STU00173,Student173,Last73,student173@learn.com,35,BR,2023-04-09,Free,11,True
STU00174,Student174,Last74,student174@learn.com,47,CA,2023-01-06,Monthly,1,True
STU00175,Student175,Last75,student175@learn.com,36,MX,2022-11-22,Monthly,6,False
STU00176,Student176,Last76,student176@learn.com,45,PH,2021-12-02,Free,13,True
STU00177,Student177,Last77,student177@learn.com,29,IN,2022-05-04,Annual,8,True
STU00178,Student178,Last78,student178@learn.com,34,AU,2021-08-30,Enterprise,9,True
STU00179,Student179,Last79,student179@learn.com,37,MX,2023-01-11,Free,9,True
STU00180,Student180,Last80,student180@learn.com,33,US,2022-11-15,Free,15,True
STU00181,Student181,Last81,student181@learn.com,28,AU,2022-12-04,Annual,4,True
STU00182,Student182,Last82,student182@learn.com,41,MX,2021-08-15,Monthly,5,False
STU00183,Student183,Last83,student183@learn.com,27,NG,2023-02-05,Annual,14,False
STU00184,Student184,Last84,student184@learn.com,52,BR,2023-02-20,Monthly,20,True
STU00185,Student185,Last85,student185@learn.com,51,NG,2022-06-25,Annual,3,True
STU00186,Student186,Last86,student186@learn.com,21,PH,2023-07-14,Monthly,19,True
STU00187,Student187,Last87,student187@learn.com,28,DE,2023-05-25,Enterprise,4,True
STU00188,Student188,Last88,student188@learn.com,55,NG,2021-04-04,Enterprise,2,False
STU00189,Student189,Last89,student189@learn.com,26,PH,2022-03-02,Enterprise,19,True
STU00190,Student190,Last90,student190@learn.com,53,NG,2022-11-20,Annual,1,False
STU00191,Student191,Last91,student191@learn.com,34,US,2023-02-03,Monthly,19,True
STU00192,Student192,Last92,student192@learn.com,20,AU,2021-12-19,Free,18,True
STU00193,Student193,Last93,student193@learn.com,22,NG,2021-02-02,Annual,14,True
STU00194,Student194,Last94,student194@learn.com,26,AU,2022-01-19,Enterprise,15,False
STU00195,Student195,Last95,student195@learn.com,42,UK,2022-12-01,Monthly,12,True
STU00196,Student196,Last96,student196@learn.com,29,PH,2022-02-07,Monthly,8,True
STU00197,Student197,Last97,student197@learn.com,19,CA,2022-04-20,Enterprise,18,False
STU00198,Student198,Last98,student198@learn.com,32,BR,2022-04-17,Annual,5,True
STU00199,Student199,Last99,student199@learn.com,30,UK,2021-02-02,Enterprise,20,True
STU00200,Student200,Last0,student200@learn.com,33,BR,2021-03-10,Free,20,True
STU00201,Student201,Last1,student201@learn.com,46,MX,2022-11-20,Free,8,True
STU00202,Student202,Last2,student202@learn.com,43,NG,2021-08-28,Monthly,2,True
STU00203,Student203,Last3,student203@learn.com,50,CA,2021-08-28,Annual,19,True
STU00204,Student204,Last4,student204@learn.com,33,CA,2023-06-17,Monthly,17,True
STU00205,Student205,Last5,student205@learn.com,44,CA,2021-10-09,Free,18,True
STU00206,Student206,Last6,student206@learn.com,45,PH,2022-05-23,Free,12,False
STU00207,Student207,Last7,student207@learn.com,51,DE,2022-12-15,Enterprise,14,True
STU00208,Student208,Last8,student208@learn.com,37,AU,2021-07-08,Enterprise,8,True
STU00209,Student209,Last9,student209@learn.com,37,IN,2023-04-06,Enterprise,2,False
STU00210,Student210,Last10,student210@learn.com,44,PH,2022-06-27,Monthly,13,True
STU00211,Student211,Last11,student211@learn.com,34,BR,2021-12-05,Free,15,True
STU00212,Student212,Last12,student212@learn.com,23,PH,2023-01-12,Monthly,2,True
STU00213,Student213,Last13,student213@learn.com,42,MX,2022-09-10,Free,3,True
STU00214,Student214,Last14,student214@learn.com,55,PH,2021-08-11,Enterprise,7,True
STU00215,Student215,Last15,student215@learn.com,37,US,2021-08-05,Monthly,4,False
STU00216,Student216,Last16,student216@learn.com,33,MX,2022-12-22,Monthly,13,True
STU00217,Student217,Last17,student217@learn.com,53,DE,2023-03-06,Annual,13,False
STU00218,Student218,Last18,student218@learn.com,52,DE,2021-11-12,Annual,12,False
STU00219,Student219,Last19,student219@learn.com,47,UK,2023-04-03,Enterprise,11,True
STU00220,Student220,Last20,student220@learn.com,41,DE,2022-02-28,Free,19,True
STU00221,Student221,Last21,student221@learn.com,27,US,2021-09-25,Enterprise,10,True
STU00222,Student222,Last22,student222@learn.com,30,DE,2021-08-24,Enterprise,19,True
STU00223,Student223,Last23,student223@learn.com,49,PH,2022-11-02,Annual,9,False
STU00224,Student224,Last24,student224@learn.com,49,NG,2021-06-22,Annual,6,True
STU00225,Student225,Last25,student225@learn.com,52,NG,2021-07-08,Free,17,True
STU00226,Student226,Last26,student226@learn.com,22,US,2023-02-22,Free,14,True
STU00227,Student227,Last27,student227@learn.com,32,UK,2022-12-26,Monthly,1,True
STU00228,Student228,Last28,student228@learn.com,50,NG,2022-01-18,Free,20,False
STU00229,Student229,Last29,student229@learn.com,49,US,2021-01-07,Enterprise,1,True
STU00230,Student230,Last30,student230@learn.com,51,CA,2022-07-03,Annual,1,False
STU00231,Student231,Last31,student231@learn.com,29,UK,2023-07-30,Free,17,True
STU00232,Student232,Last32,student232@learn.com,33,BR,2022-09-27,Annual,12,True
STU00233,Student233,Last33,student233@learn.com,43,UK,2022-01-18,Enterprise,15,True
STU00234,Student234,Last34,student234@learn.com,32,CA,2022-12-02,Free,2,True
STU00235,Student235,Last35,student235@learn.com,43,AU,2022-01-22,Enterprise,2,True
STU00236,Student236,Last36,student236@learn.com,28,UK,2022-05-27,Enterprise,11,True
STU00237,Student237,Last37,student237@learn.com,51,US,2021-08-24,Monthly,19,False
STU00238,Student238,Last38,student238@learn.com,35,US,2023-08-05,Free,9,True
STU00239,Student239,Last39,student239@learn.com,29,DE,2021-01-17,Monthly,19,True
STU00240,Student240,Last40,student240@learn.com,43,UK,2021-11-03,Monthly,19,True
STU00241,Student241,Last41,student241@learn.com,54,AU,2022-11-25,Annual,13,True
STU00242,Student242,Last42,student242@learn.com,23,PH,2023-02-03,Annual,2,True
STU00243,Student243,Last43,student243@learn.com,45,BR,2023-05-09,Free,11,False
STU00244,Student244,Last44,student244@learn.com,38,US,2022-10-12,Annual,15,False
STU00245,Student245,Last45,student245@learn.com,32,DE,2022-07-21,Enterprise,14,True
STU00246,Student246,Last46,student246@learn.com,55,AU,2021-03-29,Annual,8,True
STU00247,Student247,Last47,student247@learn.com,23,CA,2021-06-07,Enterprise,5,False
STU00248,Student248,Last48,student248@learn.com,38,DE,2021-04-20,Free,1,True
STU00249,Student249,Last49,student249@learn.com,46,DE,2023-02-19,Annual,4,True
STU00250,Student250,Last50,student250@learn.com,23,IN,2022-03-18,Enterprise,18,False
STU00251,Student251,Last51,student251@learn.com,24,US,2021-04-02,Annual,18,True
STU00252,Student252,Last52,student252@learn.com,38,AU,2021-01-13,Annual,14,False
STU00253,Student253,Last53,student253@learn.com,23,PH,2023-07-16,Monthly,19,True
STU00254,Student254,Last54,student254@learn.com,42,IN,2021-05-23,Annual,10,True
STU00255,Student255,Last55,student255@learn.com,49,IN,2021-03-06,Monthly,14,True
STU00256,Student256,Last56,student256@learn.com,44,CA,2022-05-11,Free,12,True
STU00257,Student257,Last57,student257@learn.com,33,NG,2022-09-01,Monthly,15,True
STU00258,Student258,Last58,student258@learn.com,26,CA,2021-01-07,Enterprise,11,False
STU00259,Student259,Last59,student259@learn.com,39,NG,2021-12-09,Enterprise,20,True
STU00260,Student260,Last60,student260@learn.com,37,DE,2022-09-10,Monthly,16,True
STU00261,Student261,Last61,student261@learn.com,29,AU,2023-09-19,Annual,10,False
STU00262,Student262,Last62,student262@learn.com,54,BR,2021-11-30,Enterprise,9,False
STU00263,Student263,Last63,student263@learn.com,41,UK,2023-08-13,Monthly,19,True
STU00264,Student264,Last64,student264@learn.com,53,US,2023-09-03,Enterprise,7,False
STU00265,Student265,Last65,student265@learn.com,36,UK,2023-04-19,Enterprise,16,True
STU00266,Student266,Last66,student266@learn.com,37,BR,2021-09-16,Monthly,14,False
STU00267,Student267,Last67,student267@learn.com,22,NG,2022-09-05,Enterprise,19,False
STU00268,Student268,Last68,student268@learn.com,52,PH,2023-08-04,Enterprise,18,True
STU00269,Student269,Last69,student269@learn.com,41,PH,2022-09-01,Free,4,True
STU00270,Student270,Last70,student270@learn.com,40,IN,2022-10-25,Free,19,False
STU00271,Student271,Last71,student271@learn.com,39,AU,2021-04-19,Free,4,True
STU00272,Student272,Last72,student272@learn.com,32,PH,2023-02-04,Monthly,15,True
STU00273,Student273,Last73,student273@learn.com,43,NG,2023-03-02,Monthly,12,True
STU00274,Student274,Last74,student274@learn.com,48,UK,2021-10-30,Enterprise,3,True
STU00275,Student275,Last75,student275@learn.com,27,DE,2021-11-16,Annual,15,True
STU00276,Student276,Last76,student276@learn.com,51,NG,2021-12-23,Enterprise,4,False
STU00277,Student277,Last77,student277@learn.com,46,DE,2021-03-10,Annual,2,True
STU00278,Student278,Last78,student278@learn.com,19,DE,2022-10-26,Free,6,True
STU00279,Student279,Last79,student279@learn.com,51,IN,2022-07-20,Monthly,11,False
STU00280,Student280,Last80,student280@learn.com,47,BR,2023-03-28,Enterprise,6,True
STU00281,Student281,Last81,student281@learn.com,45,AU,2021-01-30,Monthly,15,False
STU00282,Student282,Last82,student282@learn.com,42,US,2022-12-23,Monthly,7,True
STU00283,Student283,Last83,student283@learn.com,22,MX,2021-04-15,Monthly,12,True
STU00284,Student284,Last84,student284@learn.com,30,NG,2021-04-27,Annual,16,True
STU00285,Student285,Last85,student285@learn.com,42,MX,2022-02-06,Free,12,True
STU00286,Student286,Last86,student286@learn.com,47,MX,2021-06-26,Annual,20,True
STU00287,Student287,Last87,student287@learn.com,26,DE,2021-05-01,Monthly,10,True
STU00288,Student288,Last88,student288@learn.com,29,DE,2022-12-12,Monthly,17,False
STU00289,Student289,Last89,student289@learn.com,44,MX,2021-05-22,Enterprise,14,True
STU00290,Student290,Last90,student290@learn.com,49,PH,2022-12-12,Monthly,18,True
STU00291,Student291,Last91,student291@learn.com,49,CA,2021-05-24,Monthly,11,False
STU00292,Student292,Last92,student292@learn.com,21,DE,2023-09-02,Free,16,True
STU00293,Student293,Last93,student293@learn.com,30,AU,2023-09-14,Enterprise,14,False
STU00294,Student294,Last94,student294@learn.com,44,NG,2022-05-16,Monthly,3,True
STU00295,Student295,Last95,student295@learn.com,32,CA,2021-02-03,Annual,8,True
STU00296,Student296,Last96,student296@learn.com,28,NG,2022-08-03,Enterprise,18,True
STU00297,Student297,Last97,student297@learn.com,54,UK,2021-10-02,Annual,18,True
STU00298,Student298,Last98,student298@learn.com,46,PH,2021-08-12,Enterprise,4,True
STU00299,Student299,Last99,student299@learn.com,37,US,2022-04-06,Annual,12,True
STU00300,Student300,Last0,student300@learn.com,46,UK,2023-03-06,Monthly,7,True
STU00301,Student301,Last1,student301@learn.com,45,IN,2022-09-23,Monthly,7,True
STU00302,Student302,Last2,student302@learn.com,21,MX,2021-12-26,Annual,20,True
STU00303,Student303,Last3,student303@learn.com,38,CA,2021-10-24,Annual,17,True
STU00304,Student304,Last4,student304@learn.com,26,AU,2023-07-30,Free,9,True
STU00305,Student305,Last5,student305@learn.com,26,BR,2021-05-30,Annual,8,False
STU00306,Student306,Last6,student306@learn.com,49,IN,2022-08-15,Annual,14,False
STU00307,Student307,Last7,student307@learn.com,46,UK,2022-10-11,Free,13,True
STU00308,Student308,Last8,student308@learn.com,41,NG,2023-09-01,Enterprise,11,True
STU00309,Student309,Last9,student309@learn.com,23,NG,2022-10-13,Annual,3,False
STU00310,Student310,Last10,student310@learn.com,31,AU,2023-04-25,Monthly,16,True
STU00311,Student311,Last11,student311@learn.com,38,CA,2021-12-12,Monthly,19,False
STU00312,Student312,Last12,student312@learn.com,39,US,2021-02-17,Free,15,True
STU00313,Student313,Last13,student313@learn.com,25,IN,2022-03-28,Enterprise,1,False
STU00314,Student314,Last14,student314@learn.com,30,IN,2023-06-23,Annual,6,True
STU00315,Student315,Last15,student315@learn.com,23,DE,2021-09-14,Free,12,True
STU00316,Student316,Last16,student316@learn.com,21,AU,2022-10-03,Annual,8,False
STU00317,Student317,Last17,student317@learn.com,23,UK,2021-01-02,Monthly,16,True
STU00318,Student318,Last18,student318@learn.com,26,MX,2021-08-20,Enterprise,1,True
STU00319,Student319,Last19,student319@learn.com,39,UK,2023-05-31,Enterprise,5,False
STU00320,Student320,Last20,student320@learn.com,22,BR,2022-01-28,Free,4,True
STU00321,Student321,Last21,student321@learn.com,38,DE,2023-06-22,Annual,5,False
STU00322,Student322,Last22,student322@learn.com,26,IN,2021-03-12,Free,20,True
STU00323,Student323,Last23,student323@learn.com,46,DE,2023-01-10,Monthly,5,False
STU00324,Student324,Last24,student324@learn.com,46,BR,2021-03-30,Free,5,True
STU00325,Student325,Last25,student325@learn.com,55,AU,2021-12-26,Enterprise,11,True
STU00326,Student326,Last26,student326@learn.com,33,CA,2022-10-23,Free,8,True
STU00327,Student327,Last27,student327@learn.com,19,CA,2021-07-30,Monthly,13,True
STU00328,Student328,Last28,student328@learn.com,21,BR,2022-05-22,Enterprise,4,True
STU00329,Student329,Last29,student329@learn.com,49,MX,2021-03-14,Free,12,True
STU00330,Student330,Last30,student330@learn.com,26,AU,2023-06-01,Enterprise,12,True
STU00331,Student331,Last31,student331@learn.com,48,UK,2021-01-18,Free,1,True
STU00332,Student332,Last32,student332@learn.com,31,US,2023-08-03,Free,13,True
STU00333,Student333,Last33,student333@learn.com,50,AU,2022-03-10,Enterprise,3,True
STU00334,Student334,Last34,student334@learn.com,35,UK,2021-11-14,Free,17,True
STU00335,Student335,Last35,student335@learn.com,27,PH,2021-12-01,Enterprise,19,True
STU00336,Student336,Last36,student336@learn.com,37,AU,2023-01-18,Monthly,2,True
